Filename                        None            Some            Many             Few       Alternate      None Time       Some Time       Many Time        Few Time  Alternate Time 
smallworld-20-0.txt                8         NP hard         NP hard               0           False        0.0008s            0.0s            0.0s          0.001s         0.0008s 
smallworld-20-1.txt               -1         NP hard         NP hard               1            True        0.0007s            0.0s            0.0s         0.0009s         0.0009s 
smallworld-3-0.txt                -1         NP hard         NP hard               1           False           0.0s            0.0s            0.0s            0.0s            0.0s 
smallworld-3-1.txt                -1         NP hard         NP hard               1           False           0.0s            0.0s            0.0s            0.0s            0.0s 
smallworld-30-0.txt                9         NP hard         NP hard               0           False         0.002s            0.0s            0.0s          0.002s         0.0018s 
smallworld-30-1.txt               -1         NP hard         NP hard               1            True        0.0017s            0.0s            0.0s         0.0021s          0.002s 
smallworld-40-0.txt                8         NP hard         NP hard               0           False        0.0034s            0.0s            0.0s         0.0044s         0.0032s 
smallworld-40-1.txt               -1         NP hard         NP hard               1            True        0.0027s            0.0s            0.0s         0.0036s         0.0035s 
smallworld-50-0.txt                3         NP hard         NP hard               0           False        0.0056s            0.0s            0.0s         0.0552s         0.0053s 
smallworld-50-1.txt               -1         NP hard         NP hard               2            True        0.0045s            0.0s            0.0s         0.0074s         0.0055s 
wall-n-1.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-n-10.txt                      1         NP hard         NP hard               0           False        0.0001s            0.0s            0.0s         0.0001s         0.0001s 
wall-n-100.txt                     1         NP hard         NP hard               0           False         0.001s            0.0s            0.0s         0.0008s          0.001s 
wall-n-1000.txt                    1         NP hard         NP hard               0           False        0.0099s            0.0s            0.0s         0.0092s           0.01s 
wall-n-10000.txt                   1         NP hard         NP hard               0           False        0.1024s            0.0s            0.0s         0.1483s         0.1039s 
wall-n-2.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-n-3.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-n-4.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-p-1.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-p-10.txt                      1         NP hard         NP hard               0           False        0.0001s            0.0s            0.0s         0.0001s         0.0001s 
wall-p-100.txt                     1         NP hard         NP hard               0           False        0.0008s            0.0s            0.0s         0.0006s         0.0007s 
wall-p-1000.txt                    1         NP hard         NP hard               0           False        0.0075s            0.0s            0.0s         0.0067s         0.0075s 
wall-p-10000.txt                   1         NP hard         NP hard               0           False        0.1244s            0.0s            0.0s         0.0736s         0.1321s 
wall-p-2.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-p-3.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-p-4.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-z-1.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-z-10.txt                      1         NP hard         NP hard               0           False        0.0001s            0.0s            0.0s         0.0001s         0.0001s 
wall-z-100.txt                     1         NP hard         NP hard               0           False         0.001s            0.0s            0.0s         0.0008s         0.0009s 
wall-z-1000.txt                    1         NP hard         NP hard               0           False        0.0088s            0.0s            0.0s         0.0081s         0.0088s 
wall-z-10000.txt                   1         NP hard         NP hard               0           False        0.0911s            0.0s            0.0s          0.135s         0.0925s 
wall-z-2.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-z-3.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
wall-z-4.txt                       1         NP hard         NP hard               0           False           0.0s            0.0s            0.0s            0.0s            0.0s 
